,symbol,open,high,low,close,volume
2020-06-15,COINBASE:COMPUSD,101.688936622,102.084878674,91.0404204359,97.2848894469,0.0
2020-06-16,COINBASE:COMPUSD,97.2848894469,113.041062444,63.3755555193,65.1569940107,0.0
2020-06-17,COINBASE:COMPUSD,65.1569940107,175.947612681,61.8518346436,144.408755492,0.0
2020-06-18,COINBASE:COMPUSD,144.408755492,232.902326383,144.408755492,227.889310856,0.0
2020-06-19,COINBASE:COMPUSD,227.889310856,262.400703746,198.816055694,257.054416693,0.0
2020-06-20,COINBASE:COMPUSD,257.054416693,371.910804527,257.054416693,341.034406808,0.0
2020-06-21,COINBASE:COMPUSD,341.034406808,341.034406808,233.37142283,280.690397885,0.0
2020-06-22,COINBASE:COMPUSD,280.690397885,427.24,230.0,241.65,31.7971
2020-06-23,COINBASE:COMPUSD,240.81,249.0,190.19,206.73,28.0125
2020-06-24,COINBASE:COMPUSD,206.73,254.78,197.55,228.99,66.6593
2020-06-25,COINBASE:COMPUSD,232.38,272.9,226.3,262.38,48.8618
2020-06-26,COINBASE:COMPUSD,262.28,265.0,222.0,231.15,34.9922
2020-06-27,COINBASE:COMPUSD,231.15,255.0,228.0,244.81,18.5157
2020-06-28,COINBASE:COMPUSD,244.81,247.84,230.66,233.72,11.6862
2020-06-29,COINBASE:COMPUSD,233.42,242.55,211.32,215.98,26.6248
2020-06-30,COINBASE:COMPUSD,216.07,220.98,201.0,201.14,19.432
2020-07-01,COINBASE:COMPUSD,201.14,205.12,175.34,180.0,38.7327
2020-07-02,COINBASE:COMPUSD,180.43,196.0,171.08,171.77,30.0345
2020-07-03,COINBASE:COMPUSD,171.91,194.0,163.01,180.54,32.67
2020-07-04,COINBASE:COMPUSD,180.54,220.0,177.5,200.16,59.6172
2020-07-05,COINBASE:COMPUSD,200.14,207.39,186.36,195.0,31.5173
2020-07-06,COINBASE:COMPUSD,195.0,197.43,183.2,187.7,15.0516
2020-07-07,COINBASE:COMPUSD,187.41,190.5,174.01,184.52,23.9436
2020-07-08,COINBASE:COMPUSD,184.98,189.0,175.6,180.34,14.3335
2020-07-09,COINBASE:COMPUSD,180.12,180.71,170.5,174.98,12.2425
2020-07-10,COINBASE:COMPUSD,175.34,185.15,174.4,178.48,13.4068
2020-07-11,COINBASE:COMPUSD,178.84,183.57,173.92,175.86,8.9303
2020-07-12,COINBASE:COMPUSD,176.0,178.48,157.38,166.19,18.1879
2020-07-13,COINBASE:COMPUSD,166.2,168.9,159.87,164.1,11.3653
2020-07-14,COINBASE:COMPUSD,163.69,167.44,159.35,160.12,9.7704
2020-07-15,COINBASE:COMPUSD,160.14,163.71,152.67,155.0,17.9983
2020-07-16,COINBASE:COMPUSD,155.0,178.99,154.17,166.07,29.3786
2020-07-17,COINBASE:COMPUSD,166.54,167.77,160.98,163.94,11.3347
2020-07-18,COINBASE:COMPUSD,163.95,164.73,159.59,163.08,7.6147
2020-07-19,COINBASE:COMPUSD,163.08,175.6,155.0,157.86,22.4576
2020-07-20,COINBASE:COMPUSD,157.98,163.3,157.24,159.95,8.5197
2020-07-21,COINBASE:COMPUSD,159.71,160.03,153.71,157.6,12.8904
2020-07-22,COINBASE:COMPUSD,157.63,165.0,155.5,156.13,16.1889
2020-07-23,COINBASE:COMPUSD,156.13,158.22,155.1,155.28,6.3388
2020-07-24,COINBASE:COMPUSD,155.44,157.5,154.58,155.8,8.4181
2020-07-25,COINBASE:COMPUSD,155.96,163.89,153.25,157.5,15.6641
2020-07-26,COINBASE:COMPUSD,157.46,158.19,120.02,135.84,51.6739
2020-07-27,COINBASE:COMPUSD,135.87,142.36,130.02,136.58,22.9803
2020-07-28,COINBASE:COMPUSD,136.59,140.0,132.01,133.22,9.7133
2020-07-29,COINBASE:COMPUSD,133.24,135.15,131.47,133.35,10.4726
2020-07-30,COINBASE:COMPUSD,133.31,139.98,127.95,134.77,19.637
2020-07-31,COINBASE:COMPUSD,134.72,144.0,134.48,138.39,21.4176
2020-08-01,COINBASE:COMPUSD,138.39,139.22,120.02,127.35,32.3154
2020-08-02,COINBASE:COMPUSD,127.31,132.74,125.0,127.01,9.0985
2020-08-03,COINBASE:COMPUSD,127.01,133.5,126.54,131.85,9.6968
2020-08-04,COINBASE:COMPUSD,131.98,141.66,128.82,135.0,17.4088
2020-08-05,COINBASE:COMPUSD,135.0,142.67,133.0,136.79,11.7064
2020-08-06,COINBASE:COMPUSD,136.83,157.93,136.4,154.65,43.7313
2020-08-07,COINBASE:COMPUSD,154.66,160.0,147.02,152.82,27.7874
2020-08-08,COINBASE:COMPUSD,152.64,175.96,148.95,170.54,33.2094
2020-08-09,COINBASE:COMPUSD,170.59,192.5,163.01,176.85,48.5769
2020-08-10,COINBASE:COMPUSD,176.36,198.96,154.87,195.0,62.6587
2020-08-11,COINBASE:COMPUSD,195.0,264.0,190.28,218.58,181.7032
2020-08-12,COINBASE:COMPUSD,218.08,235.89,186.02,205.0,100.5982
2020-08-13,COINBASE:COMPUSD,205.0,216.69,190.91,196.39,47.152
2020-08-14,COINBASE:COMPUSD,196.37,212.0,186.87,196.97,39.2934
2020-08-15,COINBASE:COMPUSD,196.83,207.41,191.5,201.15,32.039
2020-08-16,COINBASE:COMPUSD,201.38,203.54,184.31,184.8,30.1902
2020-08-17,COINBASE:COMPUSD,185.23,191.9,173.6,187.62,25.5056
2020-08-18,COINBASE:COMPUSD,187.4,212.0,176.8,182.9,60.5057
2020-08-19,COINBASE:COMPUSD,182.94,187.0,178.05,180.15,23.0195
2020-08-20,COINBASE:COMPUSD,179.9,189.88,162.0,169.98,41.5204
2020-08-21,COINBASE:COMPUSD,169.75,180.0,160.6,174.21,25.0265
2020-08-22,COINBASE:COMPUSD,174.2,175.9,164.44,169.53,11.4754
2020-08-23,COINBASE:COMPUSD,169.23,189.7,165.91,181.35,29.5623
2020-08-24,COINBASE:COMPUSD,181.35,189.99,161.21,165.41,29.5342
2020-08-25,COINBASE:COMPUSD,165.38,190.0,162.27,180.01,36.0633
2020-08-26,COINBASE:COMPUSD,179.79,180.17,165.0,171.24,15.701
2020-08-27,COINBASE:COMPUSD,171.24,204.0,169.27,189.12,38.7478
2020-08-28,COINBASE:COMPUSD,188.96,200.29,185.01,193.86,16.5268
2020-08-29,COINBASE:COMPUSD,193.74,228.57,191.74,217.0,47.3977
2020-08-30,COINBASE:COMPUSD,216.92,251.77,207.73,242.98,59.8508
2020-08-31,COINBASE:COMPUSD,242.7,272.53,234.64,256.7,86.7524
2020-09-01,COINBASE:COMPUSD,256.63,257.11,204.04,227.18,44.5489
2020-09-02,COINBASE:COMPUSD,227.23,244.95,180.45,187.15,68.3362
2020-09-03,COINBASE:COMPUSD,187.15,202.06,178.0,189.2,38.3196
2020-09-04,COINBASE:COMPUSD,189.63,198.4,149.84,158.03,51.4261
2020-09-05,COINBASE:COMPUSD,158.11,177.98,145.51,170.81,39.9118
2020-09-06,COINBASE:COMPUSD,170.62,180.31,153.97,179.33,32.5392
2020-09-07,COINBASE:COMPUSD,179.33,184.99,167.25,173.66,20.1523
2020-09-08,COINBASE:COMPUSD,173.66,185.17,167.34,177.8,16.6956
2020-09-09,COINBASE:COMPUSD,177.8,186.97,169.44,171.47,19.214
2020-09-10,COINBASE:COMPUSD,171.55,177.85,160.04,173.04,28.7354
2020-09-11,COINBASE:COMPUSD,173.04,181.11,169.53,180.63,10.6891
2020-09-12,COINBASE:COMPUSD,180.71,185.0,161.51,164.92,20.8923
2020-09-13,COINBASE:COMPUSD,164.95,170.74,158.8,166.26,16.9626
2020-09-14,COINBASE:COMPUSD,166.26,169.88,152.2,154.61,13.1034
2020-09-15,COINBASE:COMPUSD,154.61,154.94,147.25,152.99,13.4659
2020-09-16,COINBASE:COMPUSD,152.94,161.16,146.53,158.4,20.4492
2020-09-17,COINBASE:COMPUSD,158.34,168.0,151.2,153.88,24.8038
2020-09-18,COINBASE:COMPUSD,153.89,156.6,150.99,151.84,15.0148
2020-09-19,COINBASE:COMPUSD,151.86,152.79,140.5,144.5,20.739
2020-09-20,COINBASE:COMPUSD,144.5,145.99,123.36,128.33,35.002
2020-09-21,COINBASE:COMPUSD,128.39,146.1,127.2,143.54,28.4385
2020-09-22,COINBASE:COMPUSD,143.46,146.92,124.27,127.16,26.7453
2020-09-23,COINBASE:COMPUSD,127.18,141.29,126.06,138.59,21.5724
2020-09-24,COINBASE:COMPUSD,138.59,144.0,133.01,139.01,19.8771
2020-09-25,COINBASE:COMPUSD,139.31,147.42,136.89,144.27,11.3293
2020-09-26,COINBASE:COMPUSD,144.04,147.69,135.11,138.98,9.0105
2020-09-27,COINBASE:COMPUSD,139.21,141.46,129.99,131.53,26.329
2020-09-28,COINBASE:COMPUSD,131.42,134.55,127.77,132.8,15.2034
2020-09-29,COINBASE:COMPUSD,132.71,136.22,130.02,133.49,11.5644
2020-09-30,COINBASE:COMPUSD,133.77,140.0,125.0,129.16,18.3855
2020-10-01,COINBASE:COMPUSD,129.12,130.82,116.53,120.32,28.8519
2020-10-02,COINBASE:COMPUSD,120.4,125.5,120.02,121.09,8.3232
2020-10-03,COINBASE:COMPUSD,121.04,122.8,117.01,119.6,10.579
2020-10-04,COINBASE:COMPUSD,119.5,124.61,117.5,122.13,11.2795
2020-10-05,COINBASE:COMPUSD,122.01,123.03,101.3,105.85,47.3638
2020-10-06,COINBASE:COMPUSD,105.86,111.93,101.19,110.44,47.6474
2020-10-07,COINBASE:COMPUSD,110.43,114.19,102.2,108.42,36.4415
2020-10-08,COINBASE:COMPUSD,108.11,117.78,103.54,115.58,46.6341
2020-10-09,COINBASE:COMPUSD,115.46,119.73,112.83,113.93,30.6811
2020-10-10,COINBASE:COMPUSD,113.75,117.06,111.25,115.77,16.9222
2020-10-11,COINBASE:COMPUSD,115.77,120.78,112.28,116.7,22.7145
2020-10-12,COINBASE:COMPUSD,116.81,119.09,111.76,114.0,10.9369
2020-10-13,COINBASE:COMPUSD,113.99,115.43,105.5,107.2,13.0287
2020-10-14,COINBASE:COMPUSD,107.25,109.81,104.68,106.88,9.9277
2020-10-15,COINBASE:COMPUSD,106.68,107.14,99.54,103.55,20.6334
2020-10-16,COINBASE:COMPUSD,103.55,105.9,101.56,103.13,11.6572
2020-10-17,COINBASE:COMPUSD,103.09,107.95,102.64,104.91,17.8096
2020-10-18,COINBASE:COMPUSD,104.91,105.91,101.53,102.83,12.3942
2020-10-19,COINBASE:COMPUSD,102.98,102.98,92.83,95.05,30.961
2020-10-20,COINBASE:COMPUSD,95.06,100.0,92.71,95.48,41.1871
2020-10-21,COINBASE:COMPUSD,95.47,103.02,95.44,102.51,32.4003
2020-10-22,COINBASE:COMPUSD,102.51,106.52,99.53,103.18,30.3863
2020-10-23,COINBASE:COMPUSD,103.18,107.86,101.1,105.17,12.237
2020-10-24,COINBASE:COMPUSD,105.16,105.56,101.24,101.37,13.3738
2020-10-25,COINBASE:COMPUSD,101.17,104.57,97.94,100.18,20.7193
2020-10-26,COINBASE:COMPUSD,100.18,113.82,99.67,109.95,49.0304
2020-10-27,COINBASE:COMPUSD,109.96,120.37,104.75,107.7,56.9958
2020-10-28,COINBASE:COMPUSD,107.59,111.79,94.19,96.91,38.3333
2020-10-29,COINBASE:COMPUSD,96.95,98.96,88.44,92.23,40.2466
2020-10-30,COINBASE:COMPUSD,92.18,95.16,89.02,90.89,25.0465
2020-10-31,COINBASE:COMPUSD,90.88,96.21,89.5,94.0,12.1451
2020-11-01,COINBASE:COMPUSD,94.04,99.12,90.33,91.17,17.1425
2020-11-02,COINBASE:COMPUSD,90.99,91.1,80.75,87.54,51.8869
2020-11-03,COINBASE:COMPUSD,87.65,89.01,81.37,88.86,20.8981
2020-11-04,COINBASE:COMPUSD,88.76,93.7,83.3,90.93,25.5121
2020-11-05,COINBASE:COMPUSD,90.93,100.17,88.7,95.73,32.6673
2020-11-06,COINBASE:COMPUSD,95.84,111.89,89.03,92.56,84.3303
2020-11-07,COINBASE:COMPUSD,92.52,101.07,91.25,97.1,27.6503
2020-11-08,COINBASE:COMPUSD,97.09,100.4,93.17,94.9,21.4911
2020-11-09,COINBASE:COMPUSD,94.91,105.5,94.07,102.59,25.412
2020-11-10,COINBASE:COMPUSD,102.59,115.0,101.84,103.11,40.7313
2020-11-11,COINBASE:COMPUSD,103.22,108.53,99.47,104.4,21.9176
2020-11-12,COINBASE:COMPUSD,104.28,117.99,103.39,116.7,31.7002
2020-11-13,COINBASE:COMPUSD,116.64,124.57,107.44,121.63,71.6347
2020-11-14,COINBASE:COMPUSD,121.64,130.57,113.13,120.11,57.7613
2020-11-15,COINBASE:COMPUSD,120.29,124.94,114.54,120.12,26.2254
2020-11-16,COINBASE:COMPUSD,120.31,127.77,118.27,122.74,33.3713
2020-11-17,COINBASE:COMPUSD,122.74,126.23,107.15,114.41,50.3835
2020-11-18,COINBASE:COMPUSD,114.26,118.63,108.74,113.46,31.2481
2020-11-19,COINBASE:COMPUSD,113.47,124.55,113.27,116.23,33.5501
2020-11-20,COINBASE:COMPUSD,116.19,128.45,112.96,127.49,50.9051
2020-11-21,COINBASE:COMPUSD,127.5,129.15,112.72,116.98,47.8697
2020-11-22,COINBASE:COMPUSD,117.07,129.63,115.61,125.72,39.1877
2020-11-23,COINBASE:COMPUSD,125.69,133.53,121.5,127.78,59.6034
2020-11-24,COINBASE:COMPUSD,127.74,139.8,118.99,122.6,55.7478
2020-11-25,COINBASE:COMPUSD,122.67,125.72,96.94,106.89,68.1541
2020-11-26,COINBASE:COMPUSD,107.0,110.1,99.9,104.52,35.1417
2020-11-27,COINBASE:COMPUSD,104.56,109.88,102.11,108.27,22.6469
2020-11-28,COINBASE:COMPUSD,108.15,111.68,106.0,110.8,13.2991
2020-11-29,COINBASE:COMPUSD,110.81,114.99,109.29,112.09,18.4648
2020-11-30,COINBASE:COMPUSD,112.12,117.95,103.02,105.05,36.9675
2020-12-01,COINBASE:COMPUSD,105.05,114.98,104.23,113.86,29.9108
2020-12-02,COINBASE:COMPUSD,113.85,138.0,112.6,131.81,88.7213
2020-12-03,COINBASE:COMPUSD,131.81,148.06,124.95,127.21,107.6009
2020-12-04,COINBASE:COMPUSD,127.2,145.0,125.14,144.02,39.7919
2020-12-05,COINBASE:COMPUSD,143.9,144.38,132.85,137.17,20.6019
2020-12-06,COINBASE:COMPUSD,137.23,151.22,134.57,149.94,37.9565
2020-12-07,COINBASE:COMPUSD,149.97,180.0,148.77,155.44,196.8599
2020-12-08,COINBASE:COMPUSD,155.34,171.53,145.43,164.69,102.0116
2020-12-09,COINBASE:COMPUSD,164.69,166.16,147.84,149.17,37.6988
2020-12-10,COINBASE:COMPUSD,149.19,150.63,137.54,142.55,52.303
2020-12-11,COINBASE:COMPUSD,142.44,153.69,141.3,144.59,34.3086
2020-12-12,COINBASE:COMPUSD,144.6,153.19,140.36,147.39,25.2189
2020-12-13,COINBASE:COMPUSD,147.21,160.45,143.55,153.07,39.4693
2020-12-14,COINBASE:COMPUSD,153.09,154.3,146.5,150.0,30.9085
2020-12-15,COINBASE:COMPUSD,150.0,157.68,147.5,155.5,45.7551
2020-12-16,COINBASE:COMPUSD,155.47,179.24,152.01,177.36,72.0956
2020-12-17,COINBASE:COMPUSD,177.52,178.0,150.33,160.41,54.4995
2020-12-18,COINBASE:COMPUSD,160.39,165.32,154.48,155.94,26.5532
2020-12-19,COINBASE:COMPUSD,155.92,162.78,151.27,153.7,25.9897
2020-12-20,COINBASE:COMPUSD,153.67,155.63,140.0,141.71,27.2974
2020-12-21,COINBASE:COMPUSD,141.79,148.87,135.61,145.35,20.42
2020-12-22,COINBASE:COMPUSD,145.17,149.09,121.44,129.54,39.6439
2020-12-23,COINBASE:COMPUSD,129.54,137.79,125.84,136.62,22.2663
2020-12-24,COINBASE:COMPUSD,136.81,143.44,134.0,137.71,13.5157
2020-12-25,COINBASE:COMPUSD,137.66,138.64,127.87,129.97,22.4978
2020-12-26,COINBASE:COMPUSD,129.83,140.0,127.77,131.29,30.3421
2020-12-27,COINBASE:COMPUSD,131.39,143.7,129.79,143.37,24.6126
2020-12-28,COINBASE:COMPUSD,143.37,146.18,130.0,139.33,35.3217
