,symbol,open,high,low,close,volume
2020-11-19,BINANCE:BUSDBRL,5.3,5.404,5.293,5.396,89.5656
2020-11-20,BINANCE:BUSDBRL,5.396,5.406,5.362,5.378,31.7817
2020-11-21,BINANCE:BUSDBRL,5.4,5.451,5.4,5.42,46.5689
2020-11-22,BINANCE:BUSDBRL,5.427,5.484,5.399,5.462,166.4976
2020-11-23,BINANCE:BUSDBRL,5.47,5.48,5.411,5.455,168.7297
2020-11-24,BINANCE:BUSDBRL,5.446,5.459,5.375,5.375,166.6403
2020-11-25,BINANCE:BUSDBRL,5.381,5.48,5.368,5.46,536.5541
2020-11-26,BINANCE:BUSDBRL,5.432,5.508,5.407,5.416,116.8819
2020-11-27,BINANCE:BUSDBRL,5.416,5.42,5.391,5.405,51.3847
2020-11-28,BINANCE:BUSDBRL,5.405,5.418,5.388,5.398,29.655
2020-11-29,BINANCE:BUSDBRL,5.392,5.414,5.32,5.324,153.0186
2020-11-30,BINANCE:BUSDBRL,5.32,5.382,5.252,5.257,232.6429
2020-12-01,BINANCE:BUSDBRL,5.288,5.311,5.235,5.235,130.5874
2020-12-02,BINANCE:BUSDBRL,5.233,5.261,5.162,5.179,164.1058
2020-12-03,BINANCE:BUSDBRL,5.177,5.218,5.164,5.199,225.3272
2020-12-04,BINANCE:BUSDBRL,5.202,5.211,5.18,5.196,13.4598
2020-12-05,BINANCE:BUSDBRL,5.189,5.196,5.168,5.169,55.3809
2020-12-06,BINANCE:BUSDBRL,5.168,5.183,5.102,5.146,98.3576
2020-12-07,BINANCE:BUSDBRL,5.134,5.197,5.118,5.197,121.9823
2020-12-08,BINANCE:BUSDBRL,5.186,5.238,5.147,5.219,90.4774
2020-12-09,BINANCE:BUSDBRL,5.219,5.244,5.058,5.096,138.342
2020-12-10,BINANCE:BUSDBRL,5.096,5.156,5.06,5.11,80.1954
2020-12-11,BINANCE:BUSDBRL,5.11,5.126,5.085,5.124,42.3358
2020-12-12,BINANCE:BUSDBRL,5.124,5.124,5.083,5.093,29.6378
2020-12-13,BINANCE:BUSDBRL,5.084,5.137,5.038,5.117,147.1762
2020-12-14,BINANCE:BUSDBRL,5.109,5.146,5.1,5.102,89.853
2020-12-15,BINANCE:BUSDBRL,5.114,5.136,5.029,5.029,153.897
2020-12-16,BINANCE:BUSDBRL,5.056,5.111,4.931,5.045,536.1825
2020-12-17,BINANCE:BUSDBRL,5.05,5.13,5.023,5.094,354.2062
2020-12-18,BINANCE:BUSDBRL,5.092,5.109,5.061,5.087,113.0927
2020-12-19,BINANCE:BUSDBRL,5.082,5.119,5.06,5.106,289.6154
2020-12-20,BINANCE:BUSDBRL,5.106,5.257,5.07,5.175,525.265
2020-12-21,BINANCE:BUSDBRL,5.173,5.207,5.15,5.157,315.3405
2020-12-22,BINANCE:BUSDBRL,5.169,5.312,5.154,5.266,479.3171
2020-12-23,BINANCE:BUSDBRL,5.277,5.301,5.224,5.224,134.6854
2020-12-24,BINANCE:BUSDBRL,5.235,5.273,5.187,5.233,175.5047
2020-12-25,BINANCE:BUSDBRL,5.231,5.286,5.214,5.269,197.837
2020-12-26,BINANCE:BUSDBRL,5.259,5.293,5.234,5.269,268.1057
2020-12-27,BINANCE:BUSDBRL,5.271,5.339,5.207,5.3,531.2492
2020-12-28,BINANCE:BUSDBRL,5.299,5.343,5.226,5.227,333.9827
2020-12-29,BINANCE:BUSDBRL,5.227,5.26,5.19,5.246,620.6142
2020-12-30,BINANCE:BUSDBRL,5.248,5.29,5.202,5.24,395.7248
2020-12-31,BINANCE:BUSDBRL,5.248,5.27,5.199,5.223,227.281
2021-01-01,BINANCE:BUSDBRL,5.233,5.258,5.184,5.24,499.4205
2021-01-02,BINANCE:BUSDBRL,5.242,5.281,5.184,5.243,418.1725
2021-01-03,BINANCE:BUSDBRL,5.243,5.37,5.192,5.304,836.2045
2021-01-04,BINANCE:BUSDBRL,5.304,5.4,5.263,5.283,623.0024
2021-01-05,BINANCE:BUSDBRL,5.282,5.416,5.222,5.337,792.679
2021-01-06,BINANCE:BUSDBRL,5.337,5.596,5.302,5.467,1001.0016
2021-01-07,BINANCE:BUSDBRL,5.475,5.55,5.395,5.494,864.314
2021-01-08,BINANCE:BUSDBRL,5.494,5.536,5.442,5.476,591.9521
2021-01-09,BINANCE:BUSDBRL,5.48,5.556,5.39,5.481,768.9411
2021-01-10,BINANCE:BUSDBRL,5.482,5.668,5.398,5.618,2527.6392
2021-01-11,BINANCE:BUSDBRL,5.64,5.684,5.4,5.405,440.911
2021-01-12,BINANCE:BUSDBRL,5.404,5.474,5.303,5.319,739.544
2021-01-13,BINANCE:BUSDBRL,5.319,5.357,5.25,5.266,859.7666
2021-01-14,BINANCE:BUSDBRL,5.267,5.44,5.17,5.379,1389.1693
2021-01-15,BINANCE:BUSDBRL,5.379,5.411,5.31,5.394,316.4625
2021-01-16,BINANCE:BUSDBRL,5.378,5.46,5.31,5.371,346.1737
2021-01-17,BINANCE:BUSDBRL,5.357,5.377,5.292,5.302,599.6878
2021-01-18,BINANCE:BUSDBRL,5.302,5.405,5.257,5.391,908.4231
2021-01-19,BINANCE:BUSDBRL,5.391,5.492,5.326,5.332,802.3391
2021-01-20,BINANCE:BUSDBRL,5.332,5.51,5.318,5.442,741.0026
2021-01-21,BINANCE:BUSDBRL,5.442,5.519,5.36,5.499,1398.1471
